INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-97,2D,Não,7.393.752,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,8,7.5,6,8.4375,7.75,5
,ALUNO-98,,,,,,,,,,,,,,
,ALUNO-99,,,,,,,,,,,,,,
Escola Pública,ALUNO-100,1M,Não,6.908.335.000.000.000,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.5,4.375,7.5,6.875,7.916.665,5
,ALUNO-101,,,,,,,,,,,,,,
Escola Pública,ALUNO-102,1J,Não,7.966.668.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,8.5,7.5,7,7.5,7.833.333.333.333.330,10
Escola Pública,ALUNO-103,0F,Não,8.597.919.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,7.5,8.5,7.8125,7.333.335,10
,ALUNO-104,,,,,,,,,,,,,,
Escola Pública,ALUNO-105,3B,Não,8.516.877,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,9.6,7.5,8,796.875,766.667,10
Escola Pública,ALUNO-106,0H,Não,8.450.002,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,10,7.5,10,7.5,7.5,5
,ALUNO-107,,,,,,,,,,,,,,
,ALUNO-108,,,,,,,,,,,,,,
,ALUNO-109,,,,,,,,,,,,,,
,ALUNO-110,,,,,,,,,,,,,,
Escola Pública,ALUNO-111,3L,Não,68.535.425,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791.667,7.7,7.5,4.5,796.875,78.750.025,5
Escola Pública,ALUNO-112,3H,Não,6.448.887.666.666.660,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791.667,6.8,4.375,5.333.333.333.333.330,7.708.333.333.333.330,7.611.103.333.333.330,5
