INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-685,0F,Não,7.730.002.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.9,7.5,9.5,2.5,5,10
Escola Pública,ALUNO-686,0D,Não,7.767.919,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000.020.000.000.000,8.6,5,9,7.8125,7.333.335,5
,ALUNO-687,,,,,,,,,,,,,,
Escola Pública,ALUNO-688,7B,Não,6.893.959.333.333.330,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,625.001,7.6,5.625,4.666.666.666.666.660,703.125,7.75,10
Rede Decisão/União,ALUNO-689,2B,Sim,7.776.669.999.999.990,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.3,5,5.5,5,958.334,10
,ALUNO-690,,,,,,,,,,,,,,
Escola Pública,ALUNO-691,1C,Não,7.694.168.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,700.002,9.2,6.25,9,7.291.666.666.666.660,7.5,5
,ALUNO-692,,,,,,,,,,,,,,
Escola Pública,ALUNO-693,0H,Não,8.25,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,10,7.5,10,2.5,699.999,10
,ALUNO-694,,,,,,,,,,,,,,
Escola Pública,ALUNO-695,0C,Não,8.631.250.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,7.5,9,7.8125,699.999,10
Escola Pública,ALUNO-696,2G,Sim,7.778.336,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750.002,9.6,7.5,6.5,7.916.666.666.666.660,8.833.336.666.666.660,5
,ALUNO-697,,,,,,,,,,,,,,
Escola Pública,ALUNO-698,5B,Não,7.008.611.666.666.660,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,708.333,8.8,5.625,5.333.333.333.333.330,8.333.333.333.333.330,7.888.893.333.333.330,5
Escola Pública,ALUNO-699,2P,Não,6.792.780.666.666.660,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,4.7,7.5,6.5,7.916.666.666.666.660,8.055.560.000.000.000,5
Escola Pública,ALUNO-700,2F,Não,6.966.111.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.9,7.5,4.5,7.916.666.666.666.660,6.222.213.333.333.330,10
,ALUNO-701,,,,,,,,,,,,,,
Escola Pública,ALUNO-702,1E,Não,8.818.057.333.333.330,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.5,7.5,10,7.291.666.666.666.660,7.944.443.333.333.330,10
Escola Pública,ALUNO-703,2D,Não,8.340.419,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.9,7.5,9.5,8.4375,7.583.335,5
Escola Pública,ALUNO-704,2D,Não,7.590.002,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.7,7.5,3.5,7.5,7.75,10
,ALUNO-705,,,,,,,,,,,,,,
,ALUNO-706,,,,,,,,,,,,,,
Escola Pública,ALUNO-707,2C,Não,7.794.168.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.7,7.5,8,7.708.333.333.333.330,7.666.663.333.333.330,5
Escola Pública,ALUNO-708,1H,Não,8.004.724,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,8.1,7.5,10,7.291.666.666.666.660,7.777.776.666.666.660,5
,ALUNO-709,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-710,2B,Não,8.431.669,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,8.2,6.25,9,7.5,8.333.335,10
,ALUNO-711,,,,,,,,,,,,,,
Escola Pública,ALUNO-712,1B,Não,7.588.752,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,8.6,7.5,7.5,7.1875,7.75,5
Escola Pública,ALUNO-713,2J,Não,6.066.944.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,583.334,6.8,7.5,1.5,5.624.999.999.999.990,7.555.553.333.333.330,10
Escola Pública,ALUNO-714,7A,Não,5.550.414.999.999.990,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,2.7,4.375,4.5,6.5625,6.333.325,10
,ALUNO-715,,,,,,,,,,,,,,
Escola Pública,ALUNO-716,2G,Não,7.709.168.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.9,7.5,3.5,8.125,7.833.333.333.333.330,10
,ALUNO-717,,,,,,,,,,,,,,
Escola Pública,ALUNO-718,2N,Não,5.546.668.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,7.4,4.375,0,7.291.666.666.666.660,7.5,5
Escola Pública,ALUNO-719,2F,Não,5.688.333.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,5.4,4.375,1.5,7.708.333.333.333.330,649.999,10
Escola Pública,ALUNO-720,5L,Não,6.325.276.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,624.999,7.3,6.25,4,7.708.333.333.333.330,772.222,5
Escola Pública,ALUNO-721,1G,Não,5.660.002,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750.002,7.3,5,4,2.5,7,5
,ALUNO-722,,,,,,,,,,,,,,
,ALUNO-723,,,,,,,,,,,,,,
Escola Pública,ALUNO-724,2R,Não,7.861.945.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,69.166.799.999.999.900,9.4,7.5,6,7.291.666.666.666.660,8.055.553.333.333.330,10
Escola Pública,ALUNO-725,2M,Não,6.730.835.000.000.000,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,3.3,5,7,6.875,7.916.665,10
,ALUNO-726,,,,,,,,,,,,,,
,ALUNO-727,,,,,,,,,,,,,,
,ALUNO-728,,,,,,,,,,,,,,
,ALUNO-729,,,,,,,,,,,,,,
,ALUNO-730,,,,,,,,,,,,,,
Escola Pública,ALUNO-731,5L,Não,6.437.778.666.666.660,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916.668,7.8,3.125,4.333.333.333.333.330,7.708.333.333.333.330,7.555.553.333.333.330,5
Escola Pública,ALUNO-732,4L,Não,7.851.389.666.666.660,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,7,7.5,7.666.666.666.666.660,8.541.666.666.666.660,7.611.113.333.333.330,10
Escola Pública,ALUNO-733,2M,Não,7.044.585,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,7.9,8.125,2.5,7.1875,7.916.665,10
,ALUNO-734,,,,,,,,,,,,,,
,ALUNO-735,,,,,,,,,,,,,,
,ALUNO-736,,,,,,,,,,,,,,
Escola Pública,ALUNO-737,2N,Não,8.070.001.999.999.990,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.6,7.5,6.5,7.5,7.5,10
Escola Pública,ALUNO-738,2R,Não,7.458.336.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750.002,9,6.875,6,8.541.666.666.666.660,8.333.336.666.666.660,5
Rede Decisão/União,ALUNO-739,3A,Sim,8.703.753.666.666.660,Topázio,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,7.3,10,8.333.333.333.333.330,8.4375,8.666.675,10
Escola Pública,ALUNO-740,0D,Não,7.940.418,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,9.4,8.125,10,7.8125,583.333,5
,ALUNO-741,,,,,,,,,,,,,,
,ALUNO-742,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-743,0H,Não,7.993.333.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.8,5,10,2.5,6.916.655,10
Escola Pública,ALUNO-744,6C,Não,5.075.208.833.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,541.667,4.6,5,26.666.666.666.666.600,671.875,70.416.675,5
Escola Pública,ALUNO-745,4L,Não,5.955.279,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875.001,5.7,7.5,2,8.125,738.889,5
Rede Decisão/União,ALUNO-746,2F,Sim,8.890.836,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.1,7.5,9,8.541.666.666.666.660,8.833.336.666.666.660,10
Escola Pública,ALUNO-747,3B,Não,8.154.376.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,9.1,5.625,8,796.875,791.667,10
,ALUNO-748,,,,,,,,,,,,,,
Escola Pública,ALUNO-749,4L,Não,6.502.500.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,3.7,7.5,5.333.333.333.333.330,8.541.666.666.666.660,5.666.659.999.999.990,10
Escola Pública,ALUNO-750,4B,Não,5.549.445.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,6.4,6.875,0,8.125,6.555.553.333.333.330,5
,ALUNO-751,,,,,,,,,,,,,,
,ALUNO-752,,,,,,,,,,,,,,
Escola Pública,ALUNO-753,3E,Não,6.485.277,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,6.6,7.5,23.333.333.333.333.300,8.125,6.722.216.666.666.660,10
,ALUNO-754,,,,,,,,,,,,,,
Escola Pública,ALUNO-755,3L,Não,7.735.417,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,7.5,5,8,8.4375,7.5,10
Escola Pública,ALUNO-756,2B,Não,74.341.680.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.9,7.5,9,4.375,633.333,5
Escola Pública,ALUNO-757,3A,Não,6.240.207.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,541.666,4.3,7.5,4.666.666.666.666.660,796.875,6.791.665,10
Escola Pública,ALUNO-758,2L,Não,7.436.114.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,7.5,7.5,4.25,7.916.666.666.666.660,8.222.226.666.666.660,10
,ALUNO-759,,,,,,,,,,,,,,
Escola Pública,ALUNO-760,0G,Não,8.641.250.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.8,7.5,10,7.8125,624.999,10
,ALUNO-761,,,,,,,,,,,,,,
,ALUNO-762,,,,,,,,,,,,,,
,ALUNO-763,,,,,,,,,,,,,,
,ALUNO-764,,,,,,,,,,,,,,
,ALUNO-765,,,,,,,,,,,,,,
Escola Pública,ALUNO-766,4B,Não,6.824.446.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875.001,7.4,7.5,36.666.666.666.666.600,8.749.999.999.999.990,8.055.560.000.000.000,5
Escola Pública,ALUNO-767,3L,Não,7.096.875,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,5,7.5,7,796.875,616.666,10
Rede Decisão/União,ALUNO-768,3G,Sim,77.272.240.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,79.166.799.999.999.900,9.9,4.375,7.666.666.666.666.660,7.291.666.666.666.660,877.778,5
,ALUNO-769,,,,,,,,,,,,,,
,ALUNO-770,,,,,,,,,,,,,,
,ALUNO-771,,,,,,,,,,,,,,
,ALUNO-772,,,,,,,,,,,,,,
Escola Pública,ALUNO-773,2E,Sim,7.854.724.666.666.660,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,5.6,7.5,9.5,8.958.333.333.333.330,8.944.446.666.666.660,5
,ALUNO-774,,,,,,,,,,,,,,
,ALUNO-775,,,,,,,,,,,,,,
Escola Pública,ALUNO-776,3R,Não,5.591.389.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,916.668,5.2,7.5,16.666.666.666.666.600,7.291.666.666.666.660,6.611.106.666.666.660,5
Escola Pública,ALUNO-777,1D,Não,7.012.085.000.000.000,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,7.8,5,7.25,7.1875,7.416.665,5
,ALUNO-778,,,,,,,,,,,,,,
Escola Pública,ALUNO-779,6C,Não,6.48,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,3.9,7.5,4,7.5,7.624.995,10
Escola Pública,ALUNO-780,3M,Não,8.103.542.166.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,8.2,7.5,8.333.333.333.333.330,796.875,66.666.625,10
,ALUNO-781,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-782,5B,Sim,8.435.835.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,8.7,9.375,5.666.666.666.666.660,9.166.666.666.666.660,9.166.673.333.333.330,10
Escola Pública,ALUNO-783,1M,Não,6.995.835.000.000.000,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,8,7.5,4.5,8.125,7.916.665,5
,ALUNO-784,,,,,,,,,,,,,,
Escola Pública,ALUNO-785,2B,Não,8.812.502,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,9.5,7.5,9,8.125,7.75,10
Escola Pública,ALUNO-786,5F,Não,5.065.416,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,1.9,7.5,3,7.1875,683.333,5
,ALUNO-787,,,,,,,,,,,,,,
,ALUNO-788,,,,,,,,,,,,,,
Escola Pública,ALUNO-789,4L,Não,4.682.222.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,2.8,7.5,0,7.916.666.666.666.660,5.611.103.333.333.330,5
Escola Pública,ALUNO-790,3C,Sim,9.198.059.333.333.330,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,8.9,7.5,8.666.666.666.666.660,9.791.666.666.666.660,9.777.786.666.666.660,10
,ALUNO-791,,,,,,,,,,,,,,
Escola Pública,ALUNO-792,1G,Não,7.783.335,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.5,4.375,10,8.125,7.166.665,5
Escola Pública,ALUNO-793,0E,Não,8.118.749.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,683.334,10,7.5,10,7.1875,7.333.325,5
Rede Decisão/União,ALUNO-794,2L,Sim,8.281.114,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.6,6.25,6.5,7.916.666.666.666.660,8.722.226.666.666.660,10
Escola Pública,ALUNO-795,2D,Não,7.971.252,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000.020.000.000.000,9.7,7.5,7,7.8125,8,5
Escola Pública,ALUNO-796,3B,Não,8.615.210.166.666.660,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,9.8,7.5,8.333.333.333.333.330,796.875,76.250.025,10
Escola Pública,ALUNO-797,1R,Não,6.857.223.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,6.8,4.375,6.5,6.875,8.111.106.666.666.660,5
,ALUNO-798,,,,,,,,,,,,,,
,ALUNO-799,,,,,,,,,,,,,,
,ALUNO-800,,,,,,,,,,,,,,
,ALUNO-801,,,,,,,,,,,,,,
,ALUNO-802,,,,,,,,,,,,,,
Escola Pública,ALUNO-803,0G,Não,6.979.172.000.000.000,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,5.625,7,2.5,4.333.349.999.999.990,10
,ALUNO-804,,,,,,,,,,,,,,
,ALUNO-805,,,,,,,,,,,,,,
,ALUNO-806,,,,,,,,,,,,,,
Escola Pública,ALUNO-807,0E,Não,8.091.669,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,10,6.25,9,2.5,7.833.335,10
,ALUNO-808,,,,,,,,,,,,,,
,ALUNO-809,,,,,,,,,,,,,,
,ALUNO-810,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-811,2B,Não,8.196.669,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,7.4,7.5,9,7.5,8.083.335,10
,ALUNO-812,,,,,,,,,,,,,,
Escola Pública,ALUNO-813,1F,Não,8.388.752,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,7.6,7.5,10,7.1875,8,10
Escola Pública,ALUNO-814,1E,Não,6.864.723.333.333.330,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791.668,9.4,5.625,3.75,7.916.666.666.666.660,7.944.443.333.333.330,5
,ALUNO-815,,,,,,,,,,,,,,
,ALUNO-816,,,,,,,,,,,,,,
